job_title,company_name,location,job_type,job_location_type,experence_level,experence_years,job_category,skills_required
Marketing Manager,alnajleen ,"Riyadh, Saudi Arabia",Full Time,On-site,Manager,7+ Yrs of Exp, Operations/Management,Administration - Business Administration - CRM - Digital Marketing - digital marketing - Google Analytics - Market Research
Lab Manager,Raissyon for Engineering & Technology   ,"Dammam, Saudi Arabia",Full Time,On-site,Manager,10 - 15 Yrs of Exp, R&D/Science,Engineering - Laboratory - Calibration - Laboratory management - Medical - Lab - quality
Business Analyst,Royal Cyber ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 10 Yrs of Exp, IT/Software Development,Business Analyst - Business Analysis - Project Management - Information Technology (IT) - Agile - CBAP - Solution Design
UX Designer,شركة انتراكتيف العربية السعودية المحدودة ,"Riyadh, Saudi Arabia",Full Time,Remote,Experienced,5 - 7 Yrs of Exp, Creative/Design/Art,Design - HTML - photoshop - UI/UX - Computer Science - Information Technology (IT) - CSS - JavaScript - jQuery
Financial Analyst,Confidential ,"Jazan, Saudi Arabia",Full Time,On-site,Experienced,2 - 5 Yrs of Exp, Accounting/Finance,Corporate Finance - Financial Forecasting - Financial Analysis - Accounting - Commerce - Finance - Forecasting - Reporting
Videographer,WD Advertising  ,"Asir, Saudi Arabia",Full Time,On-site,Experienced,2+ Yrs of Exp, Creative/Design/Art,Adobe Premiere - After Effects - media - Social Media - Video Editing - Videography - video
Purchasing Manager,Confidential ,"Jeddah, Saudi Arabia",Full Time,On-site,Manager,3 - 5 Yrs of Exp, Purchasing/Procurement,Accounting - Procurement - Sales - Purchasing - Pharmaceutical - Human Resources (HR) - inventory - Inventory Management - Logistics
Mechanical Site Engineer,Meta Vision  ,"Jeddah, Saudi Arabia",Full Time,On-site,Experienced,7 - 15 Yrs of Exp, Engineering - Construction/Civil/Architecture,Chillers - HVAC Systems - HVAC Engineering - HVAC - Site Engineering - Site Supervision - Site Installation
Accountant,Summit Education & Training Consultation Global ,"Jeddah, Saudi Arabia",Full Time,Remote,Experienced,5 - 20 Yrs of Exp, Accounting/Finance,Accounting - Finance - Financial Analysis - Financial Management - Accounting Software - CMA - CPA - excel - GAAP
HR Specialist,Impact Technology  ,"Riyadh, Saudi Arabia",Full Time,Hybrid,Experienced,3 - 10 Yrs of Exp, Administration,Administration - Communication skills - Human Resources - HR - English - Microsoft Office - Recruitment - Screening
Pre Sales Engineer,Atwar Al Kon ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 11 Yrs of Exp, Engineering - Construction/Civil/Architecture,engineer - Pre sales
Pre Sales Engineer 1,Atwar Al Kon ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp, Engineering - Construction/Civil/Architecture,Sales - Engineering
Odoo Business Analyst,Confidential ,"Riyadh, Saudi Arabia",Full Time,Remote,Experienced,3 - 5 Yrs of Exp, IT/Software Development,Computer Science - Communication skills - Business Analysis - Technical Writing - quality - Analysis - systems analysis - business - Information Technology (IT)
